origin,job_original,populations_original,origin_DA_id,job_increase
13452539,12785.0,34948.0,35203535,0.0
13444350,705.0,9462.0,35202516,0.0
13460736,111550.0,268518.0,35201130,1170.0
13460738,131695.0,277073.0,35204484,0.0
13452547,105.0,3065.0,35203048,0.0
14673159,190940.0,273957.0,35200962,3615.0
13444359,3780.0,37949.0,35203908,0.0
13444359,3780.0,37949.0,35203909,0.0
13452556,0.0,374.0,35201856,0.0
13460750,227080.0,296770.0,35200734,27850.0
14017809,349230.0,319150.0,35200953,52115.0
13444370,3910.0,39087.0,35200208,0.0
13460758,41465.0,174091.0,35201191,1170.0
13452569,445.0,8682.0,35200452,0.0
13444389,3910.0,38449.0,35203911,0.0
13444389,3910.0,38449.0,35203913,0.0
20112678,39560.0,151503.0,35204637,0.0
13452583,10125.0,27707.0,35202606,35440.0
13460776,136950.0,316685.0,35204532,350105.0
13468969,3840.0,9095.0,35201661,0.0
13452588,12590.0,34841.0,35203439,0.0
13460797,212050.0,293335.0,35200725,8715.0
30082371,2845.0,5593.0,35204474,0.0
13460808,144525.0,284387.0,35200580,0.0
13452618,140.0,1923.0,35202173,0.0
13444429,705.0,9433.0,35202517,0.0
14050638,408265.0,268980.0,35204843,85525.0
13444433,255.0,2271.0,35203641,0.0
13444434,6145.0,22730.0,35202447,0.0
14017874,377505.0,329213.0,35203997,55635.0
13444437,330.0,1412.0,35200320,0.0
13460827,43720.0,203017.0,35203884,0.0
13444446,3665.0,36407.0,35204084,0.0
30098786,78505.0,170255.0,35204072,0.0
13452643,12645.0,34961.0,35203469,0.0
20030819,37730.0,170943.0,35203231,0.0
13444454,955.0,9601.0,35203734,0.0
13460839,362245.0,307565.0,35200735,28355.0
13452650,10315.0,27896.0,35202394,41945.0
13460842,74405.0,247058.0,35200593,0.0
13452651,12725.0,34965.0,35203441,0.0
13452653,7395.0,33922.0,35203532,0.0
13452654,10185.0,27709.0,35202123,19800.0
13444463,595.0,3024.0,35202500,0.0
13460851,192945.0,288945.0,35204495,3175.0
13460854,185150.0,358042.0,35204519,1170.0
13452662,105.0,3403.0,35203052,0.0
13460856,169885.0,333173.0,35204520,1170.0
13444474,3840.0,39040.0,35200206,0.0
13452667,110.0,2450.0,35201970,0.0
13460864,146630.0,282306.0,35200582,18730.0
13469056,11055.0,29932.0,35203128,0.0
13452684,10380.0,27961.0,35202365,50870.0
13460879,2835.0,24332.0,35202998,0.0
30107025,49720.0,200430.0,35200515,0.0
14050707,38895.0,176347.0,35200651,0.0
13452695,295.0,3385.0,35201857,0.0
30000535,60.0,2859.0,35203035,0.0
13444506,510.0,7411.0,35200306,0.0
30016928,285.0,6019.0,35202017,0.0
13460898,59650.0,232610.0,35200594,0.0
13444518,6250.0,22883.0,35202446,0.0
13460902,40005.0,189181.0,35200655,0.0
13452716,2830.0,8760.0,35200463,0.0
13460911,460275.0,371279.0,35200749,71630.0
13444531,115.0,1964.0,35200322,0.0
13452724,12785.0,34858.0,35203471,0.0
13460919,362960.0,313879.0,35200737,28355.0
30098873,125.0,1165.0,35203371,0.0
13469114,11055.0,29688.0,35201515,0.0
13469115,10590.0,29907.0,35203138,0.0
13452735,1885.0,24298.0,35201908,0.0
13460928,192375.0,277745.0,35200731,8715.0
13444543,1100.0,3820.0,35203979,0.0
13452742,290.0,1267.0,35201855,0.0
13469127,3570.0,9249.0,35201662,0.0
30098888,55.0,2645.0,35203376,0.0
13444560,685.0,9424.0,35203720,0.0
13460944,141620.0,320006.0,35204515,96615.0
14042579,121290.0,232791.0,35201351,1065.0
13460950,230.0,1058.0,35201805,0.0
13444568,575.0,7419.0,35200305,0.0
14673372,43110.0,198301.0,35203885,0.0
13460959,212010.0,293507.0,35204496,8715.0
13452774,720.0,7590.0,35203285,0.0
30000618,1640.0,14819.0,35204259,0.0
13452780,12465.0,34755.0,35203472,0.0
13469165,1330.0,9191.0,35201617,0.0
13460977,2905.0,24188.0,35203000,0.0
30098932,240205.0,279162.0,35204387,2985.0
13444600,3910.0,39190.0,35203910,0.0
14050809,130935.0,257891.0,35200692,0.0
30000637,3910.0,38938.0,35200203,0.0
13452798,10270.0,27796.0,35202124,32560.0
14050813,119600.0,250500.0,35200691,0.0
13469186,11005.0,29830.0,35203136,0.0
13460995,25855.0,131722.0,35203245,0.0
30107143,472615.0,445939.0,35204565,85370.0
13461001,38760.0,176320.0,35200650,0.0
30057995,1605.0,21280.0,35204165,0.0
13461013,175300.0,342707.0,35204518,1170.0
20112916,17720.0,74209.0,35204451,0.0
30066199,167730.0,251756.0,35201159,8250.0
13452824,10090.0,27562.0,35202361,54185.0
13452824,10090.0,27562.0,35202362,54185.0
30008860,2310.0,14879.0,35204067,0.0
13452829,12725.0,34846.0,35203440,0.0
14018085,1320.0,3765.0,35200882,0.0
14018085,1320.0,3765.0,35200883,0.0
13469222,1505.0,9741.0,35201615,0.0
13452841,815.0,2044.0,35202160,0.0
13452842,170.0,592.0,35202153,0.0
13461035,113395.0,301035.0,35204533,381425.0
30017070,41465.0,174069.0,35201194,1170.0
13461042,456605.0,402044.0,35202788,81600.0
13452858,1835.0,24201.0,35204375,0.0
13444667,3780.0,38974.0,35200202,0.0
13469248,10955.0,29691.0,35203126,0.0
13461058,465765.0,392979.0,35200750,81260.0
13461059,142575.0,282770.0,35200579,0.0
13469256,11015.0,29641.0,35201516,0.0
13452873,665.0,4356.0,35200466,0.0
13461067,42625.0,194329.0,35203887,0.0
13444684,575.0,7574.0,35200189,0.0
13444686,150.0,434.0,35200219,0.0
13444685,955.0,9613.0,35203721,0.0
13444682,580.0,2891.0,35202504,0.0
13461076,100705.0,258347.0,35200590,0.0
13444693,6180.0,22783.0,35202449,0.0
13452886,60.0,2403.0,35202171,0.0
14018133,1305.0,4063.0,35200880,0.0
